City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-10-29 04:12:46,-9.8,-139.0333,78.28,68,6,16.31
1,Brae,GB,2021-10-29 04:12:47,60.3964,-1.353,49.91,94,100,5.53
2,Bengkulu,ID,2021-10-29 04:12:47,-3.8004,102.2655,85.28,66,73,6.78
3,Portland,US,2021-10-29 04:12:48,45.5234,-122.6762,66.63,85,90,3.0
4,Georgetown,MY,2021-10-29 04:12:48,5.4112,100.3354,88.9,73,20,6.91
