City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
559,Glen Allen,US,37.666,-77.5064,62.26,79,52,3.0,broken clouds
560,Conway,US,35.0887,-92.4421,58.62,74,75,13.8,broken clouds
561,Maryville,US,35.7565,-83.9705,55.65,96,100,3.0,moderate rain
562,Port Angeles,US,48.1181,-123.4307,47.05,87,1,4.61,clear sky
563,Lena,ES,43.1,-5.7333,55.4,73,100,3.06,overcast clouds
564,Kavieng,PG,-2.5744,150.7967,83.16,75,61,13.06,broken clouds
565,Sinjar,IQ,36.3209,41.8754,68.2,47,99,16.44,overcast clouds
566,Ancud,CL,-41.8697,-73.8203,54.93,46,0,4.38,clear sky
567,Hambantota,LK,6.1241,81.1185,75.54,100,40,1.14,scattered clouds
568,Ketchikan,US,55.3422,-131.6461,39.83,96,100,3.29,overcast clouds
569,Buraydah,SA,26.326,43.975,86.45,20,0,9.37,clear sky
570,Maltahohe,NA,-24.8333,16.9833,85.17,4,0,20.02,clear sky
571,San Francisco,US,37.7749,-122.4194,61.12,93,75,1.01,broken clouds
572,Banjar,ID,-8.19,114.9675,78.66,89,100,2.26,overcast clouds
573,Sarkand,KZ,45.41,79.9186,44.02,65,94,3.02,overcast clouds
574,Tazovskiy,RU,67.4667,78.7,15.62,95,100,13.8,light snow
575,Devils Lake,US,48.1128,-98.8651,41.11,84,100,11.01,overcast clouds
576,Port Blair,IN,11.6667,92.75,81.45,80,95,2.68,overcast clouds
577,Saryg-Sep,RU,51.5,95.6,32.67,66,64,3.31,broken clouds
578,Watertown,US,42.3709,-71.1828,60.06,95,90,4.0,mist
579,Natchez,US,31.5604,-91.4032,57.25,72,90,5.75,overcast clouds
580,Crotone,IT,39.0851,17.1178,57.92,76,51,7.25,broken clouds
581,Ixtapa,MX,20.7,-105.2,82.22,83,5,3.0,clear sky
582,Husavik,IS,66.0449,-17.3389,39.11,96,100,10.25,overcast clouds
583,Mayna,RU,54.1135,47.6231,47.21,86,74,12.77,broken clouds
584,Devonport,AU,-41.1667,146.35,48.09,77,82,10.69,broken clouds
585,High Rock,BS,26.6208,-78.2833,82.42,63,31,26.46,scattered clouds
586,Namatanai,PG,-3.6667,152.4333,79.25,81,66,7.47,moderate rain
587,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,5.75,overcast clouds
588,Malatya,TR,38.5,38.0,51.85,82,75,3.44,broken clouds
589,Erzincan,TR,39.75,39.5,47.91,89,34,6.08,light rain
590,Bianzhuang,CN,34.8486,118.0447,59.45,64,1,3.98,light rain
591,Wilmington,US,34.2257,-77.9447,66.85,61,1,9.22,clear sky
592,Vanimo,PG,-2.6741,141.3028,78.49,87,75,2.55,broken clouds
593,Jamui,IN,24.9167,86.2167,68.68,56,0,4.07,clear sky
594,Karoi,ZW,-16.8099,29.6925,81.9,29,89,3.24,overcast clouds
595,Awbari,LY,26.5921,12.7805,80.24,23,2,5.88,clear sky
596,Bhinmal,IN,25.0,72.25,77.61,22,12,5.37,few clouds
597,Yacuiba,BO,-22.038,-63.6797,83.34,55,90,5.1,overcast clouds
598,San Rafael,AR,-34.6177,-68.3301,76.33,23,65,23.96,broken clouds
599,Morro Bay,US,35.3658,-120.8499,56.28,99,64,2.71,broken clouds
600,Mount Gambier,AU,-37.8333,140.7667,44.51,93,90,5.75,overcast clouds
601,Dongsheng,CN,39.8161,109.9776,34.81,47,4,10.22,clear sky
602,Tigzirt,DZ,36.8886,4.1198,73.62,49,100,3.38,overcast clouds
603,Uncia,BO,-18.467,-66.5685,61.29,24,1,3.74,clear sky
604,Cabinda,AO,-5.55,12.2,79.61,82,92,12.39,overcast clouds
