City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
447,Matadi,CD,85.96,-5.8167,13.45,light rain,Hotel Vivi Palace
451,Bairiki,KI,80.6,1.3292,172.9752,few clouds,Tarawa Boutique Hotel
452,Katubao,PH,80.13,5.8892,124.8294,broken clouds,IML Ecopark
455,Dingle,PH,75.51,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
457,Port Moresby,PG,76.42,-9.4431,147.1797,broken clouds,Lamana Hotel (Port Moresby)
458,Luau,AO,77.99,-10.7073,22.2247,overcast clouds,Casa- Bernardo Cândido
462,Yaqui,MX,79.34,27.3667,-110.1667,clear sky,
463,Kambing,PH,79.95,5.9465,121.3076,broken clouds,
464,Lastoursville,GA,77.61,-0.8143,12.7287,moderate rain,Auberge Bon Coin 02
465,Lazaro Cardenas,MX,81.95,17.9583,-102.2,clear sky,quinta antigua
471,Kudahuvadhoo,MV,82.78,2.6708,72.8944,few clouds,Niyama Private Islands Maldives
474,Kutum,SD,82.44,14.2,24.6667,few clouds,Dibbo areaمنطقة دبو
476,Santiago,CL,81.84,-33.4569,-70.6483,clear sky,Che Lagarto Hostel Santiago
478,Luwuk,ID,77.65,-0.9516,122.7875,broken clouds,Hotel Santika Luwuk
479,La Primavera,CO,80.96,5.4906,-70.4092,overcast clouds,La Riviera Hotel Colonial
483,Najran,SA,77.65,17.4924,44.1277,clear sky,محمد هادي ال فطيح
488,Sarangani,PH,83.53,5.4033,125.4636,overcast clouds,Ballistic Islet
491,Constantine,DZ,76.41,36.365,6.6147,clear sky,Grand Hotel Cirta
492,Buin,CL,82.72,-33.7333,-70.75,clear sky,Paihuen
493,Aquiraz,BR,86.09,-3.9014,-38.3911,scattered clouds,Pousada Rua Camurupim
495,Kilindoni,TZ,79.48,-7.9139,39.6668,few clouds,Bustani B&B
497,Porbandar,IN,80.96,21.6422,69.6093,broken clouds,Lords Inn Porbandar
508,Ambilobe,MG,77.65,-13.2,49.05,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
513,Progreso,MX,82.11,21.2833,-89.6667,clear sky,Playa Linda Hotel
514,Bontang,ID,76.57,0.1333,117.5,broken clouds,KOPKAR Hotel Bintang Sintuk
517,Finschhafen,PG,79.32,-6.6024,147.8681,overcast clouds,Cossam Guest House
518,Chiredzi,ZW,88.79,-21.05,31.6667,clear sky,Clevers Hotel Chiredzi
522,Mocuba,MZ,77.9,-16.8392,36.9856,clear sky,Phama Lodge
525,Cua,VE,82.02,10.1589,-66.8858,broken clouds,Agropecuaria Amparo del Altísimo
527,Mucurapo,TT,89.02,10.6667,-61.5333,overcast clouds,Courtyard by Marriott Port of Spain
535,Vianopolis,BR,87.85,-16.7419,-48.5164,overcast clouds,FM Materiais para Construção _ Vianopolis
537,Camiri,BO,78.58,-20.05,-63.5167,overcast clouds,J R Hotel
